pattern,ranks
punctatae,series
pungentes,section subsection series subseries
punjuba,species
puosifolia,variety
pusaetha,species
racemosae,subsection series subseries species
racosperma,section species
reichardia,species
resinicostata,species
rigidulae,species
robrichia,section
saman,section
samanea,genus section species
sassa,species
sciacassia,species
scopularum,species
seiberiana,species
seminole,species
senegalia,section species
senna,species
seriacantha,species
serialbizzia,species
serianthes,species
siderocarpos,species
siderocarpus,species
sierra,subspecies
sogorense,species
sooja,species
sopropis,species
sowdeni,species
speciosissma,species
spectabiles,series
sphinga,genus species
spica,species
spicatae,section subsection species
spiciferae,subsection
spiciflorae,section
spinescentes,species
spmceana,species
steedmani,species
stenocyux,variety
stenophyllae,species
stipulatae,series
striatae,series
strombocarpa,species
subaphyllae,species
subarticulatae,series
sulcatae,series
summibracteatae,subseries
sutherlandi,species
tacuarambensis,species
taxifoha,species
tenuiflomm,species
tetracheilos,species
tetragonae,series
tetramerae,species
tettagona,species
thailandentadopsis,species
tindale,species
triangulares,section subsection species
tsugoideae,series
tumeri,species
tunica,species
tysoni,species
umbeuifera,species
uninervea,section
uninerves,section subsection series subseries species
uninerviae,section
uniseriae,subsection
untea,genus
vachellia,species
variety,species
venatomm,species
verae,series
vermcosa,species
victoria,genus species
vietaamense,species
viguieranthus,genus
virgatae,series
vulgares,section
vulpinae,section
wallaceodendron,species
wayae,variety
westoni,species
wickhami,species
zapoteca,genus species
ziapoteca,genus
zigmaloba,species
zolleranum,species
zygia,genus section species
zygiopsis,section
inga palliada,species
zygla rhytidecarpa,species
zygla cupirensis,species
archidendron lovellae,species
